Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
"419761";"19541931000125";"18 DE JULHO ADMINISTRADORA DE BENEFÃCIOS LTDA";;"Administradora de BenefÃ­cios";"RUA CAPITÃƒO MEDEIROS DE REZENDE";"274";;"PRAÃ‡A DA BANDEIRA";"AlÃ©m ParaÃ­ba";"MG";"36660000";"32";"34624649";;"contabilidade@cbnassessoria.com.br";"LUIZ HENRIQUE MARENDINO GONÃ‡ALVES";"SÃ“CIO ADMINISTRADOR";6;"2015-05-19"
"421545";"22869997000153";"2B ODONTOLOGIA OPERADORA DE PLANOS ODONTOLÃ“GICOS LTDA";;"Odontologia de Grupo";"RUA CATÃƒO";"128";"SALA 126";"VILA ROMANA";"SÃ£o Paulo";"SP";"05049000";"11";"34415852";;"labmarisol@gmail.com";"MARISOL BECHELLI";"SÃ“CIO ADMINISTRADORA";4;"2019-06-13"
"421421";"27452545000195";"2CARE OPERADORA DE SAÃšDE LTDA.";;"Medicina de Grupo";"RUA: BERNARDINO DE CAMPOS";"230";"1Âº ANDAR";"CENTRO";"Campinas";"SP";"13010151";"19";"37901224";;"ans.plano@hospitalcare.com.br";"RODRIGO PINHO RIBEIRO";"REPRESENTANTE";5;"2018-10-09"
"422908";"41788751000100";"3S ADMINISTRADORA DE BENEFICIOS LTDA";"3S ADMINISTRADORA DE BENEFICIOS";"Administradora de BenefÃ­cios";"RUA ITÃLIA";"33";"SALA 6";"JARDIM BONFIGLIOLI";"JundiaÃ­";"SP";"13207280";"11";"42263247";;"pietrorocchi37@gmail.com";"ANAMELIA MONTEIRO GUERRA ROCCHI";"SÃ“CIO ADMINISTRADOR";6;"2021-07-12"
"418030";"13138885000131";"A.P.S. ADMINISTRADORA DE BENEFÃCOS LTDA.";"A.P.S. SAÃšDE.";"Administradora de BenefÃ­cios";"RUA VOLUNTÃRIOS DA PÃTRIA";"2525";"CONJUNTO 143 - SALA 01";"SANTANA";"SÃ£o Paulo";"SP";"02401000";"11";"45223468";;"diretoria@apssaude.com.br";"PERCÃVEL GAETA";"SÃ³CIO-ADMINISTRADOR E REPRESEN";4;"2011-05-05"
"314668";"17505793000101";"ABERTTA SAÃšDE - ASSOCIAÃ‡ÃƒO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL";"ABERTTA SAÃšDE";"AutogestÃ£o";"AV. BERNARDO MONTEIRO";"831";"Subsolo, 2Âº andar e 3Âº andar";"SANTA EFIGÃŠNIA";"Belo Horizonte";"MG";"30150281";"31";"32484300";"32484377";"abertta.ans@arcelormittal.com.br";"RICARDO DUPIN LUSTOSA";"Diretor Presidente";4;"1998-12-28"
"419621";"17687511000126";"ABPLUS ADMINISTRADORA DE BENEFÃCIOS LTDA.";;"Administradora de BenefÃ­cios";"AVENIDA JOSÃ‰ DA SILVA NETO";"200";"BLOCO 4, SALA 403";"BARRA DA TIJUCA";"Rio de Janeiro";"RJ";"22775056";;;;"contato@abplus.com.br";"ROBERTO CARLOS MACHADO RODRIGUES";"ADMINISTRADOR";6;"2014-11-13"
"424242";"56298884000167";"ABRANGE ADMINISTRADORA DE BENEFICIOS LTDA.";"ABRANGE SAÃšDE";"Administradora de BenefÃ­cios";"RUA CEL. JOSÃ‰ EUSEBIO";"95.0";"SALA 13";"HIGIENOPOLIS";"SÃ£o Paulo";"SP";"01239030";"11";"920554400";;"dayanasantos@abrangesaude.com.br";"DAYANA DOS SANTOSDE BRITO FLORÃŠNCIO";"ADMINISTRADORA";;"2025-01-06"
"418901";"10458298000131";"AD SALUTE ADMINISTRADORA DE BENEFÃCIOS LTDA";"AD SALUTE";"Administradora de BenefÃ­cios";"RUA BUENOS AIRES";"68";"SALA 2901";"CENTRO";"Rio de Janeiro";"RJ";"20070020";"21";"35531692";;"LEONARDO@UNIMEDICASAUDE.COM";"JOÃƒO CARMO DA SILVEIRA";"ADMINISTRADOR";5;"2013-06-13"
"421553";"28315826000169";"ADM LIFE - ADMINISTRADORA DE BENEFÃCIOS LTDA.";"ADM LIFE";"Administradora de BenefÃ­cios";"AVENIDA PEDROSO DE MORAIS";"272";"CJ 96";"PINHEIROS";"SÃ£o Paulo";"SP";"05420000";"11";"99475503";;"cristiane@admlife.com.br";"NELITO JÃšNIOR DE ALMEIDA SILVA";"SÃ³cio Administrador";4;"2019-01-09"
